playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,DuelsWon,SavesMade-Parried,UnsuccessfulLongPasses,GoalAssists,PenaltyGoalsConceded,YellowCards,PenaltiesConceded,TotalLossesOfPossession,GoalsConcededOutsideBox,GoalKicks,TotalUnsuccessfulPasses(ExclCrosses&Corners),GkUnsuccessfulDistribution,TotalPasses,AerialDuelsWon,TotalFoulsWon,Drops,Recoveries,GamesPlayed,TotalTackles,Starts,TotalSuccessfulPasses(ExclCrosses&Corners),SuccessfulShortPasses,Catches,TotalFoulsConceded,AerialDuels,GkSuccessfulDistribution,PenaltiesFaced,Appearances,FoulAttemptedTackle,SuccessfulLaunches,Touches,SuccessfulPassesOppositionHalf,SuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,CrossesNotClaimed,SavesMadeFromOutsideBox,SavesMade-Caught,UnsuccessfulPassesOwnHalf,LeftsidePasses,GoalsConcededInsideBox,ForwardPasses,DuelsLost,SavesMadeFromInsideBox,Putthrough/blockedDistribution,Duels,GroundDuels,KeyPasses(attemptAssists),UnsuccessfulShortPasses,SuccessfulOpenPlayPasses,UnsuccessfulLaunches,Index,TacklesWon,SavesMade,TotalClearances,OpenPlayPasses,SuccessfulPassesOwnHalf,Assists(intentional),CleanSheets,RightsidePasses,GroundDuelsWon,TimePlayed,Punches,GoalkeeperSmother,GroundDuelsLost,WinningGoal,PenaltiesSaved,Putthrough/blockedDistributionWon,SavesFromPenalty,CornersWon,SubstituteOff,SubstituteOn,HandballsConceded,TotalRedCards,SuccessfulDribbles,AerialDuelsLost,StraightRedCards,TimesTackled,UnsuccessfulLay-offs,TotalTouchesInOppositionBox,TotalShots,ShotsOffTarget(incWoodwork),TacklesLost,ShotsOnTarget(IncGoals),Interceptions,OwnGoalScored,ThrowInsToOwnPlayer,SuccessfulCrosses&Corners,SuccessfulCrossesOpenPlay,BlockedShots,GoalsFromInsideBox,UnsuccessfulCornersIntoBox,SuccessfulCornersIntoBox,ThrowInsToOppositionPlayer,CornersTaken(inclShortCorners),Goals,SuccessfulLay-offs,PenaltiesTaken,Blocks,RightFootGoals,Offsides,BackwardPasses,SecondGoalAssists,UnsuccessfulCrosses&Corners,UnsuccessfulCrossesOpenPlay,ThroughBalls,Overruns,UnsuccessfulDribbles,HomeGoals,AwayGoals,LeftFootGoals,LastPlayerTackle,HeadedGoals,OtherGoals,AttemptsFromSetPieces,ClearancesOffTheLine,RedCards-2ndYellow,PenaltyGoals,FoulWonPenalty,GoalsFromOutsideBox,PenaltiesOffTarget,SetPiecesGoals
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,2024,goalkeeper,14,1260,0,0,0,0,0,0,0,0,5,0,1,0,0,77.0,18,1.29,0,0,0,0,0,0,0,0,0.0,83.33,83.33,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,8.0,58.0,,1.0,1.0,,66.0,3.0,102.0,64.0,16.0,277.0,5.0,5.0,1.0,124.0,14.0,1.0,14.0,213.0,175.0,11.0,,6.0,174.0,2.0,14.0,,3.0,432.0,12.0,38.0,45.0,,14.0,2.0,19.0,55.0,15.0,145.0,2.0,25.0,,12.0,6.0,,6.0,104.0,29.0,10.0,,39.0,6.0,126.0,201.0,,3.0,77.0,5.0,1260.0,4.0,1.0,1.0,0.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Inter Toronto,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2024,goalkeeper,22,2010,0,0,1,0,1,0,0,0,1,0,2,0,0,75.0,24,1.07,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,11.0,163.0,,1.0,2.0,,168.0,2.0,166.0,164.0,43.0,635.0,8.0,1.0,4.0,165.0,22.0,,22.0,471.0,368.0,12.0,,8.0,233.0,1.0,22.0,,28.0,844.0,56.0,103.0,129.0,,25.0,1.0,35.0,146.0,22.0,347.0,,32.0,,8.0,,,1.0,312.0,72.0,10.0,,57.0,15.0,394.0,415.0,,7.0,142.0,,2010.0,4.0,2.0,,0.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::72e65d5165df41d198c80f48acb6e327,D. Murasiranwa,Valour,Goalkeeper,2024,goalkeeper,3,234,0,0,0,0,0,0,0,0,1,0,1,0,0,60.0,4,1.54,0,0,0,0,0,0,0,0,0.0,75.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,21.0,,1.0,1.0,,22.0,,18.0,21.0,6.0,52.0,2.0,1.0,1.0,20.0,3.0,,2.0,31.0,24.0,3.0,,2.0,29.0,1.0,3.0,,4.0,81.0,4.0,7.0,14.0,,,,7.0,9.0,4.0,28.0,1.0,2.0,,4.0,2.0,,,14.0,13.0,10.0,,2.0,2.0,26.0,27.0,,,15.0,1.0,234.0,1.0,3.0,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4,R. Yesli,Atlético,Goalkeeper,2024,goalkeeper,8,720,0,0,0,0,0,0,0,0,0,0,2,0,0,76.0,10,1.25,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,61.0,,,2.0,,62.0,3.0,30.0,62.0,6.0,252.0,1.0,,,59.0,8.0,,8.0,190.0,160.0,5.0,,1.0,55.0,,8.0,,7.0,318.0,14.0,30.0,52.0,,8.0,1.0,10.0,83.0,7.0,115.0,,11.0,,1.0,,2.0,1.0,158.0,38.0,10.0,,19.0,9.0,196.0,176.0,,2.0,54.0,,720.0,3.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d4b7a9bbb2bb49f89ab93024813fb926,J. Viscosi,Valour,Goalkeeper,2024,goalkeeper,26,2286,0,0,0,0,0,0,0,5,2,0,4,0,0,57.0,38,1.5,0,0,0,0,0,0,0,0,0.0,65.22,87.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,278.0,,6.0,4.0,2.0,286.0,3.0,244.0,285.0,100.0,659.0,14.0,2.0,6.0,198.0,26.0,,26.0,374.0,253.0,21.0,5.0,16.0,255.0,8.0,26.0,3.0,42.0,920.0,58.0,121.0,227.0,1.0,28.0,2.0,58.0,122.0,35.0,418.0,8.0,52.0,1.0,23.0,7.0,,7.0,202.0,130.0,10.0,,82.0,34.0,309.0,316.0,,4.0,119.0,1.0,2286.0,23.0,1.0,6.0,0.0,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0b10dc469e84486cbf18d636e3bc635e,J. Koleilat,Forge,Goalkeeper,2024,goalkeeper,17,1530,0,0,0,0,0,0,0,0,3,0,1,0,0,81.0,16,0.94,0,0,0,0,0,0,0,0,0.0,75.0,87.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,17.0,67.0,,2.0,1.0,,69.0,1.0,157.0,69.0,24.0,356.0,7.0,3.0,3.0,128.0,17.0,,17.0,287.0,240.0,14.0,,8.0,218.0,3.0,17.0,,2.0,528.0,19.0,47.0,50.0,,22.0,,19.0,73.0,15.0,176.0,3.0,28.0,1.0,12.0,4.0,,2.0,121.0,28.0,10.0,,51.0,14.0,153.0,268.0,,8.0,107.0,2.0,1530.0,9.0,1.0,2.0,0.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3fe556ac24fd4748b30189a2bc007f20,D. Bontis,Forge,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::9c2fb41ece0d4ac7902f5799c23556f4,M. Williams,Inter Toronto,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::b87bebebfb4f4ce4970c7181c964bcbd,J. Barrett,Cavalry,Goalkeeper,2024,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,1,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4.0,,,,,5.0,,9.0,5.0,2.0,27.0,,,,5.0,1.0,,1.0,22.0,20.0,,,,12.0,,1.0,,1.0,36.0,2.0,2.0,4.0,,2.0,,1.0,8.0,1.0,13.0,,2.0,1.0,,,,1.0,14.0,2.0,10.0,,4.0,,17.0,20.0,,,6.0,,90.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::6683777529674cdfbc6c779a7a12ea4b,M. Barrett,Cavalry,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::b4b2c4b1ad704a3b9f0b7b2d7034ef26,D. Clarke,Wanderers,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::463c4ce6772b4733b8afb783965dc34e,J. Michel,Wanderers,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::25873ca3630f4b3098e2a7f20d7a708a,E. Marmolejo,Forge,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::672848c6077343e895541a2ece161e9f,S. Artemenko,Valour,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::91baa8fa2dc04652bbd363531ab1acdc,C. Weir,Pacific,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::48817506e71f47ba8a686d2d0d5e7973,A. Normandeau,Atlético,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f93dee067b364c69b3a231cfb723817f,B. Maan,Valour,Goalkeeper,2024,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
