playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,TimePlayed,Touches,SavesMadeFromOutsideBox,Punches,SuccessfulDribbles,Appearances,AerialDuelsWon,Duels,TotalTackles,TotalPasses,GoalkeeperSmother,SuccessfulOpenPlayPasses,Catches,TotalLossesOfPossession,UnsuccessfulLaunches,SuccessfulLongPasses,SuccessfulShortPasses,GkUnsuccessfulDistribution,SavesMade-Caught,Starts,Recoveries,CleanSheets,TotalClearances,UnsuccessfulPassesOwnHalf,SavesMadeFromInsideBox,TotalFoulsWon,PenaltiesFaced,PenaltiesConceded,TotalUnsuccessfulPasses(ExclCrosses&Corners),DuelsWon,GamesPlayed,TotalSuccessfulPasses(ExclCrosses&Corners),GoalsConcededOutsideBox,SavesMade,SuccessfulPassesOppositionHalf,GoalsConcededInsideBox,RightsidePasses,ForwardPasses,TotalFoulsConceded,FoulAttemptedTackle,YellowCards,LeftsidePasses,OwnGoalScored,SavesMade-Parried,SuccessfulLaunches,TacklesLost,DuelsLost,UnsuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,AerialDuels,SuccessfulPassesOwnHalf,Index,Drops,GroundDuels,GkSuccessfulDistribution,PenaltyGoalsConceded,UnsuccessfulShortPasses,OpenPlayPasses,GroundDuelsLost,GroundDuelsWon,HomeGoals,AwayGoals,WinningGoal,PenaltiesSaved,SavesFromPenalty,CornersWon,SubstituteOff,HandballsConceded,AerialDuelsLost,Interceptions,CrossesNotClaimed,TacklesWon,KeyPasses(attemptAssists),StraightRedCards,TotalRedCards,Putthrough/blockedDistributionWon,Putthrough/blockedDistribution,UnsuccessfulLay-offs,SubstituteOn,TimesTackled,UnsuccessfulDribbles,ThrowInsToOppositionPlayer,ShotsOffTarget(incWoodwork),UnsuccessfulCrosses&Corners,TotalShots,GoalAssists,SuccessfulCrossesOpenPlay,Assists(intentional),ThroughBalls,BackwardPasses,TotalTouchesInOppositionBox,SuccessfulCrosses&Corners,Offsides,ThrowInsToOwnPlayer,UnsuccessfulCrossesOpenPlay,Blocks,GoalsFromInsideBox,RightFootGoals,BlockedShots,ShotsOnTarget(IncGoals),Goals,HeadedGoals,SecondGoalAssists,CornersTaken(inclShortCorners),UnsuccessfulCornersIntoBox,SuccessfulCornersIntoBox,LeftFootGoals,SetPiecesGoals,GoalsFromOutsideBox,AttemptsFromSetPieces,SuccessfulLay-offs,PenaltyGoals,PenaltiesTaken,ClearancesOffTheLine,FoulWonPenalty,OtherGoals,LastManTackle,RedCards-2ndYellow,PenaltiesOffTarget
cpl::Football_Player::655a241e039a4965b7f38990c3f8d981,E. Himaras,Valour,Goalkeeper,2021,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::2780a63e2bc74d368e239e9e42851d4c,J. Sirois,Montréal,Goalkeeper,2021,goalkeeper,24,2160,0,0,0,0,0,0,0,0,7,0,1,0,78,75.0,31,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160.0,964.0,45.0,11.0,,24.0,11.0,20.0,2.0,653.0,3.0,301.0,20.0,173.0,54.0,92.0,392.0,64.0,5.0,24.0,226.0,9.0,15.0,54.0,49.0,7.0,3.0,,169.0,17.0,24.0,484.0,3.0,94.0,33.0,28.0,171.0,337.0,,,1.0,145.0,,27.0,14.0,2.0,3.0,161.0,115.0,14.0,451.0,10.0,1.0,6.0,315.0,1.0,8.0,377.0,,6.0,0.0,0.0,0.0,2.0,2.0,,,,3.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,2021,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::16b384ec036b4bccb9be3e98bf2b8088,M. Village,Pacific,Goalkeeper,2021,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7517829ba9bc4c5f89f19a60bcaa4cc8,D. Powley,Edmonton,Goalkeeper,2021,goalkeeper,26,2340,0,0,0,0,0,0,0,1,2,0,1,0,91,63.0,43,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340.0,1138.0,37.0,7.0,,26.0,11.0,16.0,,825.0,3.0,307.0,22.0,316.0,95.0,207.0,309.0,98.0,5.0,26.0,267.0,3.0,20.0,100.0,55.0,2.0,11.0,1.0,309.0,13.0,26.0,516.0,1.0,93.0,87.0,42.0,166.0,514.0,1.0,1.0,1.0,145.0,,14.0,34.0,,3.0,301.0,209.0,12.0,429.0,10.0,2.0,4.0,298.0,10.0,8.0,440.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,2.0,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,2021,goalkeeper,9,710,0,0,0,0,0,0,0,0,1,0,3,0,100,75.0,15,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.0,288.0,12.0,8.0,,9.0,5.0,6.0,,182.0,2.0,63.0,5.0,49.0,16.0,27.0,108.0,21.0,1.0,7.0,69.0,,12.0,10.0,17.0,1.0,,,47.0,5.0,9.0,135.0,2.0,31.0,14.0,13.0,43.0,98.0,,,3.0,41.0,,8.0,5.0,,1.0,45.0,37.0,5.0,121.0,10.0,,1.0,113.0,,2.0,79.0,1.0,,,,0.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0665c6ea0ce84bd49b9ebba2cf80c8e2,N. Wirth,Pacific,Goalkeeper,2021,goalkeeper,3,193,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,4,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0,55.0,,,,3.0,,1.0,,40.0,,20.0,2.0,8.0,3.0,7.0,25.0,,,2.0,13.0,,1.0,3.0,3.0,,,,8.0,,3.0,32.0,1.0,3.0,5.0,3.0,12.0,17.0,,,,11.0,,,1.0,,1.0,7.0,5.0,,27.0,10.0,,1.0,18.0,,1.0,26.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::f2d1b3fafee545dc870861f57e84af06,I. Boehmer,Whitecaps,Goalkeeper,2021,goalkeeper,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,25.0,2.0,,,1.0,,,,15.0,,8.0,,2.0,2.0,2.0,11.0,,,1.0,10.0,,,1.0,,,,,2.0,,1.0,13.0,,2.0,1.0,2.0,3.0,5.0,,,,7.0,,1.0,,,,2.0,1.0,,12.0,10.0,,,13.0,,,10.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::fbb6f03bfc41445c8f91b34b2f4658e7,T.Obadal,Atlético,Goalkeeper,2021,goalkeeper,2,180,0,0,0,0,0,0,0,0,2,0,0,0,0,68.0,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,64.0,1.0,,,2.0,,2.0,,46.0,,22.0,,15.0,1.0,5.0,26.0,4.0,,2.0,17.0,,,4.0,6.0,2.0,1.0,,15.0,2.0,2.0,31.0,,7.0,2.0,4.0,12.0,23.0,,,,11.0,,1.0,,,,13.0,11.0,,29.0,10.0,,2.0,16.0,1.0,2.0,28.0,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::91fa3243affb434d91d89ae9820791de,N. Apostol,TSS Rovers,Defender,2021,defender,7,301,0,1,1,0,0,1,10,10,9,1,1,0,42,72.0,4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.0,201.0,,,3.0,7.0,3.0,51.0,13.0,114.0,,80.0,,48.0,7.0,8.0,74.0,,,3.0,11.0,1.0,4.0,10.0,,9.0,,,32.0,28.0,7.0,82.0,,,26.0,4.0,1.0,53.0,10.0,9.0,1.0,33.0,,,2.0,3.0,23.0,15.0,27.0,7.0,57.0,10.0,,44.0,,,17.0,112.0,19.0,25.0,0.0,0.0,0.0,,,2.0,2.0,,4.0,3.0,,10.0,1.0,,,4.0,7.0,,4.0,4.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,27.0,3.0,1.0,1.0,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::c314ef65be194ced895c50a72967def8,D. Klomp,Cavalry,Defender,2021,defender,24,2176,3,0,14,0,6,0,31,27,14,0,4,0,62,83.0,27,1.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176.0,1856.0,,,15.0,24.0,61.0,239.0,50.0,1404.0,,1113.0,,329.0,33.0,100.0,1061.0,,,24.0,162.0,6.0,67.0,75.0,,14.0,,,243.0,140.0,24.0,1161.0,2.0,,424.0,25.0,178.0,604.0,27.0,11.0,4.0,524.0,,,10.0,19.0,99.0,105.0,179.0,98.0,739.0,10.0,,141.0,,4.0,138.0,1350.0,62.0,79.0,2.0,1.0,2.0,,,13.0,1.0,2.0,37.0,53.0,,31.0,7.0,,,17.0,30.0,,,21.0,9.0,24.0,8.0,11.0,14.0,,2.0,,2.0,98.0,36.0,2.0,,85.0,11.0,16.0,3.0,1.0,3.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,
cpl::Football_Player::04974dd93657419b8440025eca4e2ef0,T. Field,Cavalry,Defender,2021,defender,12,587,0,1,0,0,0,1,15,3,2,0,0,0,55,75.0,7,1.07,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.0,453.0,,,5.0,12.0,10.0,75.0,33.0,268.0,,193.0,,109.0,11.0,8.0,191.0,,,8.0,35.0,1.0,12.0,27.0,,2.0,,,69.0,50.0,12.0,199.0,,,102.0,7.0,90.0,125.0,3.0,3.0,,10.0,,,3.0,18.0,25.0,23.0,59.0,18.0,102.0,10.0,,57.0,,,46.0,261.0,17.0,40.0,0.0,0.0,0.0,,,3.0,7.0,,8.0,11.0,,15.0,2.0,,,5.0,14.0,,4.0,5.0,4.0,7.0,,17.0,,1.0,4.0,1.0,,43.0,,5.0,,56.0,13.0,4.0,,,,,,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,
cpl::Football_Player::29e56c09baf549469b4a5934262e3dbf,J. Ruby,Wanderers,Defender,2021,defender,16,1246,1,1,4,0,2,1,35,9,12,1,2,0,61,86.0,18,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.0,829.0,,,9.0,16.0,22.0,133.0,41.0,509.0,,424.0,,137.0,8.0,22.0,411.0,,,14.0,81.0,3.0,36.0,32.0,,12.0,,,76.0,84.0,16.0,433.0,4.0,,181.0,14.0,146.0,180.0,9.0,7.0,2.0,89.0,,,4.0,6.0,49.0,15.0,55.0,36.0,252.0,10.0,,97.0,,,61.0,499.0,35.0,62.0,1.0,0.0,0.0,,,6.0,3.0,1.0,14.0,34.0,,35.0,13.0,,,13.0,23.0,,2.0,15.0,5.0,11.0,2.0,11.0,4.0,1.0,,1.0,3.0,94.0,18.0,,1.0,83.0,11.0,5.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
cpl::Football_Player::f3ffebc2701c4e608f9f5055198c5ec9,D. Norman,Vancouver FC,Defender,2021,defender,24,1804,1,1,11,0,6,1,31,25,17,0,7,0,50,81.0,25,1.25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804.0,1431.0,,,5.0,24.0,33.0,179.0,42.0,1158.0,,888.0,,263.0,46.0,111.0,825.0,,,20.0,115.0,5.0,41.0,65.0,,17.0,,,222.0,97.0,24.0,936.0,3.0,,296.0,22.0,398.0,473.0,25.0,15.0,7.0,199.0,,,12.0,11.0,82.0,126.0,167.0,66.0,643.0,10.0,,113.0,3.0,4.0,96.0,1102.0,49.0,64.0,1.0,0.0,1.0,,,5.0,5.0,,33.0,28.0,,31.0,5.0,,,11.0,21.0,2.0,4.0,7.0,4.0,2.0,5.0,10.0,11.0,1.0,1.0,1.0,,88.0,10.0,3.0,,21.0,4.0,9.0,,,2.0,6.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,,,,,,,,
cpl::Football_Player::41f23e52e26541bca62d8378fafc1953,F. Aird,Cavalry,Defender,2021,defender,28,2206,5,5,27,0,11,5,33,33,11,2,3,0,36,69.0,36,1.47,100,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206.0,1745.0,,,24.0,28.0,8.0,195.0,60.0,999.0,,645.0,,584.0,73.0,115.0,571.0,,,24.0,139.0,3.0,37.0,74.0,,11.0,,1.0,313.0,103.0,28.0,686.0,6.0,,469.0,30.0,83.0,549.0,33.0,18.0,3.0,245.0,,,14.0,27.0,92.0,154.0,401.0,22.0,291.0,10.0,,173.0,,3.0,159.0,937.0,78.0,95.0,2.0,3.0,0.0,,,17.0,6.0,4.0,14.0,24.0,,33.0,50.0,,,14.0,46.0,,4.0,26.0,19.0,42.0,16.0,162.0,27.0,5.0,24.0,5.0,4.0,122.0,27.0,74.0,2.0,160.0,82.0,6.0,3.0,5.0,5.0,11.0,5.0,,,100.0,56.0,36.0,,,2.0,8.0,5.0,3.0,3.0,,,,,,
