playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,AerialDuels,AerialDuelsLost,AerialDuelsWon,Appearances,Carries,Catches,CleanSheets,CornersWon,CrossesNotClaimed,Drops,Duels,DuelsLost,DuelsWon,ForwardPasses,GkSuccessfulDistribution,GkUnsuccessfulDistribution,GamesPlayed,GoalAssists,GoalKicks,GoalkeeperSmother,GoalsConcededInsideBox,GoalsConcededOutsideBox,GroundDuels,GroundDuelsLost,GroundDuelsWon,HandballsConceded,Index,KeyPasses(attemptAssists),LastPlayerTackle,LeftsidePasses,OpenPlayPasses,PenaltiesFaced,PenaltyGoalsConceded,ProgressiveCarries,Punches,Recoveries,RightsidePasses,SavesMade,SavesMadeFromInsideBox,SavesMadeFromOutsideBox,SavesMade-Caught,SavesMade-Parried,Starts,SuccessfulDribbles,SuccessfulLaunches,SuccessfulLongPasses,SuccessfulOpenPlayPasses,SuccessfulPassesOppositionHalf,SuccessfulPassesOwnHalf,SuccessfulShortPasses,TacklesLost,ThrowInsToOwnPlayer,TimePlayed,TotalBigChancesCreated,TotalBigChancesSaved,TotalClearances,TotalFoulsConceded,TotalFoulsWon,TotalLossesOfPossession,TotalPasses,TotalSuccessfulPasses(ExclCrosses&Corners),TotalTackles,TotalUnsuccessfulPasses(ExclCrosses&Corners),Touches,UnsuccessfulCrosses&Corners,UnsuccessfulLaunches,UnsuccessfulLongPasses,UnsuccessfulPassesOppositionHalf,UnsuccessfulPassesOwnHalf,UnsuccessfulShortPasses,YellowCards,WinningGoal,Putthrough/blockedDistribution,SuccessfulLay-offs,SubstituteOn,FoulAttemptedTackle,PenaltiesConceded,ShotsOffTarget(incWoodwork),TotalShots,TotalTouchesInOppositionBox,OwnGoalScored,PenaltiesSaved,SavesFromPenalty,UnsuccessfulLay-offs,Interceptions,Putthrough/blockedDistributionWon,StraightRedCards,TotalRedCards,TacklesWon,Goals,RedCards-2ndYellow,SubstituteOff,BackwardPasses,FinalThirdTouches,Assists(intentional),BlockedShots,Blocks,CornersTaken(inclShortCorners),GoalsFromInsideBox,Offsides,PenaltiesTaken,PenaltyGoals,RightFootGoals,SecondGoalAssists,ShotsOnTarget(IncGoals),SuccessfulCornersIntoBox,SuccessfulCrosses&Corners,SuccessfulCrossesOpenPlay,ThroughBalls,ThrowInsToOppositionPlayer,TimesTackled,TotalBigChancesScored,UnsuccessfulCornersIntoBox,UnsuccessfulCrossesOpenPlay,UnsuccessfulDribbles,HomeGoals,AwayGoals,Overruns,ClearancesOffTheLine,HeadedGoals,TotalBigChancesMissed,PenaltiesOffTarget,GoalsOpenplay,AttemptsFromSetPieces,GoalsFromOutsideBox,LeftFootGoals,OtherGoals,FoulWonPenalty,SetPiecesGoals
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2025,goalkeeper,30,2730,0,0,0,0,0,0,1,0,6,0,1,0,0,75.0,30,0.99,0,0,0,0,0,0,0,0,100.0,81.25,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,,4.0,30.0,139.0,18.0,11.0,1.0,,3.0,16.0,3.0,13.0,468.0,255.0,36.0,30.0,,145.0,3.0,27.0,3.0,12.0,3.0,9.0,,10.0,,,218.0,676.0,3.0,2.0,79.0,12.0,249.0,256.0,87.0,56.0,31.0,1.0,24.0,30.0,1.0,41.0,132.0,534.0,52.0,651.0,571.0,,1.0,2730.0,,5.0,29.0,,6.0,245.0,942.0,703.0,1.0,239.0,1245.0,,143.0,228.0,171.0,68.0,11.0,1.0,0.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::410af9177f254590abcec9f3cd63eba5,M. Anchor,Pacific,Goalkeeper,2025,goalkeeper,9,810,0,0,0,0,0,0,1,0,1,0,2,0,0,81.0,15,1.67,0,0,0,0,0,0,0,0,100.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,,9.0,9.0,22.0,9.0,2.0,,,,10.0,,10.0,125.0,82.0,3.0,9.0,,51.0,1.0,11.0,4.0,1.0,,1.0,,10.0,,,62.0,149.0,1.0,1.0,7.0,9.0,63.0,47.0,29.0,10.0,18.0,2.0,6.0,9.0,,6.0,19.0,124.0,10.0,179.0,170.0,,1.0,810.0,,,23.0,,1.0,46.0,234.0,189.0,1.0,45.0,337.0,,29.0,45.0,38.0,7.0,,2.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::7b7be3facecb4ab98e4c3f2b04baf071,T. Crampton,Atlético,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d4b7a9bbb2bb49f89ab93024813fb926,J. Viscosi,Valour,Goalkeeper,2025,goalkeeper,10,900,0,0,0,0,0,0,0,1,2,0,2,0,0,64.0,22,2.2,0,0,0,0,0,0,0,0,0.0,62.5,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,,4.0,10.0,25.0,9.0,,1.0,,2.0,8.0,3.0,5.0,151.0,80.0,27.0,10.0,,68.0,1.0,21.0,1.0,4.0,3.0,1.0,,10.0,1.0,,51.0,144.0,2.0,1.0,8.0,7.0,87.0,50.0,30.0,21.0,9.0,2.0,13.0,10.0,,14.0,41.0,101.0,36.0,124.0,119.0,,,900.0,,,20.0,1.0,2.0,94.0,252.0,160.0,,92.0,356.0,,48.0,91.0,73.0,19.0,1.0,2.0,0.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::76af0bbb44f04af1b02452602e267e96,F. Jaramillo,Vancouver,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::25873ca3630f4b3098e2a7f20d7a708a,E. Marmolejo,Forge,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3fe556ac24fd4748b30189a2bc007f20,D. Bontis,Forge,Goalkeeper,2025,goalkeeper,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,,,,,,,,,,6.0,19.0,1.0,1.0,,10.0,1.0,,,,,,,10.0,,,1.0,8.0,,,,,11.0,11.0,3.0,3.0,,,1.0,1.0,,,1.0,6.0,1.0,14.0,14.0,,,89.0,,,,,,3.0,18.0,15.0,,3.0,32.0,,2.0,3.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::6b20cc5527074f688f19bf91563701cd,I. Pavela,Inter Toronto,Goalkeeper,2025,goalkeeper,7,630,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,9,1.29,0,0,0,0,0,0,0,0,0.0,60.0,75.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,3.0,7.0,8.0,9.0,2.0,,,1.0,5.0,2.0,3.0,72.0,75.0,14.0,7.0,,58.0,1.0,4.0,5.0,1.0,1.0,,,10.0,,,36.0,75.0,,,2.0,3.0,55.0,48.0,14.0,9.0,5.0,,4.0,7.0,,7.0,23.0,58.0,10.0,102.0,89.0,,,630.0,,,9.0,,,45.0,156.0,112.0,,44.0,222.0,,14.0,41.0,26.0,18.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::9c2fb41ece0d4ac7902f5799c23556f4,M. Williams,Inter Toronto,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d986f3de68934587887e6c4ea44fad6f,D. Urtiaga,Inter Toronto,Goalkeeper,2025,goalkeeper,23,2095,0,0,0,0,0,0,0,1,4,0,2,0,0,70.0,35,1.5,0,0,0,0,0,0,0,0,0.0,81.82,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,5.0,23.0,29.0,11.0,7.0,,,,11.0,2.0,9.0,271.0,195.0,62.0,23.0,,173.0,1.0,30.0,5.0,6.0,2.0,4.0,,10.0,,,122.0,271.0,5.0,5.0,13.0,12.0,172.0,126.0,66.0,44.0,22.0,1.0,15.0,23.0,1.0,17.0,87.0,214.0,35.0,329.0,277.0,,,2095.0,,5.0,21.0,1.0,4.0,162.0,520.0,364.0,,156.0,710.0,,67.0,153.0,110.0,46.0,3.0,2.0,0.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3023352676954b56b16a0f7ca64bd877,D. Zadravec,Pacific,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::b4b2c4b1ad704a3b9f0b7b2d7034ef26,D. Clarke,Cavalry,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3a76fbaceee3425fa81fd8fd27b4c24f,M. de Souza,Vancouver,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::6306b765944944b3b26cdc5135460126,S. Astridge,Wanderers,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::91baa8fa2dc04652bbd363531ab1acdc,C. Weir,Valour,Goalkeeper,2025,goalkeeper,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,7,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,3.0,,,,,,,,,24.0,10.0,4.0,2.0,,7.0,1.0,7.0,,,,,,10.0,,,5.0,25.0,,,,,12.0,6.0,5.0,4.0,1.0,,,2.0,,6.0,10.0,21.0,6.0,19.0,15.0,,,180.0,,,,,,11.0,35.0,25.0,,10.0,49.0,,4.0,9.0,9.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::9027bfb0740f4f26b7758808cb873cf1,A. Kour,Valour,Goalkeeper,2025,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed004eacaca144bda4943965af890853,E. Gazdov,Valour,Goalkeeper,2025,goalkeeper,7,630,0,0,0,0,0,0,0,0,2,0,0,0,0,65.0,12,1.71,0,0,0,0,0,0,0,0,0.0,100.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,1.0,7.0,19.0,3.0,1.0,,,,3.0,,3.0,97.0,57.0,23.0,7.0,,51.0,2.0,10.0,2.0,2.0,,2.0,,10.0,1.0,,32.0,90.0,2.0,2.0,8.0,3.0,53.0,32.0,21.0,9.0,12.0,,7.0,7.0,,4.0,25.0,66.0,15.0,89.0,79.0,,,630.0,,,9.0,,2.0,62.0,161.0,104.0,,57.0,230.0,,19.0,54.0,45.0,12.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
