playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,SavesMade,TimePlayed,GkSuccessfulDistribution,PenaltiesConceded,SuccessfulLaunches,OpenPlayPasses,CornersWon,BackwardPasses,SuccessfulPassesOppositionHalf,UnsuccessfulLaunches,YellowCards,UnsuccessfulLongPasses,TotalLossesOfPossession,SuccessfulPassesOwnHalf,UnsuccessfulShortPasses,PenaltyGoalsConceded,Punches,TotalPasses,TotalFoulsConceded,SuccessfulShortPasses,GoalsConcededInsideBox,TotalUnsuccessfulPasses(ExclCrosses&Corners),RightsidePasses,KeyPasses(attemptAssists),UnsuccessfulPassesOppositionHalf,PenaltiesSaved,GoalkeeperSmother,Recoveries,Starts,Drops,UnsuccessfulPassesOwnHalf,Touches,Appearances,FoulAttemptedTackle,Catches,GroundDuels,ForwardPasses,TotalTouchesInOppositionBox,Index,DuelsWon,SuccessfulLongPasses,TotalFoulsWon,SavesMadeFromOutsideBox,SavesMade-Parried,AerialDuelsWon,Duels,TotalClearances,SavesMadeFromInsideBox,PenaltiesFaced,GamesPlayed,SavesFromPenalty,SavesMade-Caught,GkUnsuccessfulDistribution,GroundDuelsLost,LeftsidePasses,SuccessfulOpenPlayPasses,TotalSuccessfulPasses(ExclCrosses&Corners),AerialDuels,CleanSheets,DuelsLost,GroundDuelsWon,GoalsConcededOutsideBox,SubstituteOff,TotalRedCards,StraightRedCards,CrossesNotClaimed,OwnGoalScored,SuccessfulDribbles,TotalTackles,Putthrough/blockedDistribution,HandballsConceded,LastManTackle,TacklesWon,Interceptions,Putthrough/blockedDistributionWon,AerialDuelsLost,TacklesLost,ThrowInsToOwnPlayer,SubstituteOn,ShotsOffTarget(incWoodwork),TotalShots,BlockedShots,Blocks,ClearancesOffTheLine,UnsuccessfulCrossesOpenPlay,SuccessfulCrosses&Corners,ThrowInsToOppositionPlayer,SuccessfulCrossesOpenPlay,UnsuccessfulDribbles,UnsuccessfulCrosses&Corners,ThroughBalls,SuccessfulLay-offs,CornersTaken(inclShortCorners),RedCards-2ndYellow,UnsuccessfulCornersIntoBox,Assists(intentional),GoalAssists,Offsides,SuccessfulCornersIntoBox,ShotsOnTarget(IncGoals),AttemptsFromSetPieces,Goals,RightFootGoals,GoalsFromInsideBox,UnsuccessfulLay-offs,HeadedGoals,GoalsFromOutsideBox,LeftFootGoals,FoulWonPenalty,SecondGoalAssists,SetPiecesGoals,PenaltiesTaken,PenaltyGoals,OtherGoals,PenaltiesOffTarget
cpl::Football_Player::0431bad1fa9344b085a6c56889ed82d1,Q. Roberts,Forge,Goalkeeper,2019,goalkeeper,8,720,0,0,0,0,0,0,1,0,2,0,0,0,100,72,9,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,720,90.0,,8.0,117,,,20,22.0,,57.0,62,130,3.0,1.0,,210,,111,8.0,60.0,44,,47,,,73.0,8.0,2.0,13.0,297,8,,2.0,3.0,119.0,,10,6.0,39.0,2.0,10.0,3.0,3.0,6.0,2.0,17.0,2.0,8,,,22.0,,47.0,94,150,3.0,4.0,,3.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2019,goalkeeper,26,2340,0,0,0,0,0,0,0,0,13,0,0,0,94,72,34,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,2340,298.0,,73.0,526,1.0,,145,106.0,,246.0,263,481,7.0,1.0,13.0,879,,406,25.0,253.0,118,1.0,194,1.0,2.0,249.0,26.0,1.0,59.0,1181,26,,22.0,8.0,610.0,,10,26.0,220.0,13.0,29.0,32.0,18.0,27.0,24.0,60.0,2.0,26,1.0,6.0,75.0,,151.0,408,626,19.0,6.0,1.0,8.0,9.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::65d2bf4929274b6f94dbbb949093b783,J. Wheeldon,Cavalry,Defender,2019,defender,18,1497,0,0,5,0,0,0,12,12,6,0,6,0,59,83,9,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1497,,,8.0,765,1.0,41.0,105,40.0,6.0,89.0,154,545,52.0,,,791,12.0,563,9.0,141.0,219,1.0,97,,,61.0,17.0,,44.0,945,18,6.0,,40.0,294.0,15.0,10,66.0,87.0,6.0,,,42.0,111.0,71.0,,,18,,,,16.0,237.0,628,650,71.0,7.0,45.0,24.0,,3.0,,,,,2.0,16.0,5.0,1.0,,12.0,14.0,3.0,29.0,4.0,,1.0,5.0,5.0,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::14db7405a9c04988b3f8c7e7462ccab0,D. Northover,Cavalry,Defender,2019,defender,8,609,0,0,1,0,0,0,13,13,14,0,2,1,50,70,5,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,609,,,1.0,251,2.0,62.0,91,16.0,2.0,26.0,133,92,51.0,,,256,13.0,165,4.0,77.0,18,4.0,69,,,34.0,7.0,,23.0,477,8,9.0,,67.0,113.0,2.0,10,52.0,14.0,14.0,,,12.0,91.0,10.0,,,8,,,,27.0,63.0,174,179,24.0,1.0,39.0,40.0,1.0,2.0,1.0,1.0,,,6.0,20.0,12.0,,,13.0,15.0,5.0,12.0,7.0,68.0,1.0,1.0,1.0,,,,15.0,4.0,16.0,4.0,4.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::528b48f0adc7452ea0b4d13358823c87,N. Mavila,Cavalry,Defender,2019,defender,25,2021,0,1,1,0,0,1,35,38,24,0,2,1,51,70,13,0.58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021,,1.0,13.0,828,11.0,137.0,261,43.0,2.0,111.0,435,348,150.0,2.0,,862,38.0,531,10.0,261.0,284,7.0,211,,,113.0,23.0,,84.0,1448,25,16.0,,210.0,411.0,2.0,10,140.0,70.0,24.0,,,28.0,264.0,44.0,,,25,,,,98.0,30.0,572,601,54.0,7.0,124.0,112.0,3.0,6.0,1.0,,,,36.0,53.0,45.0,2.0,,35.0,23.0,20.0,26.0,18.0,149.0,2.0,1.0,1.0,,5.0,,31.0,8.0,66.0,8.0,17.0,34.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
cpl::Football_Player::234ca5343e0d44918510c10cf986e4a0,N. Langwa,Wanderers,Defender,2019,defender,19,1281,0,0,6,0,3,0,47,22,23,1,3,0,75,70,16,1.12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1281,,,2.0,452,9.0,49.0,124,21.0,3.0,51.0,295,210,95.0,1.0,,472,22.0,301,14.0,146.0,166,10.0,113,,,90.0,14.0,,57.0,1004,19,13.0,,260.0,243.0,19.0,10,154.0,25.0,23.0,,,9.0,272.0,21.0,,,19,,,,115.0,14.0,311,326,12.0,4.0,118.0,145.0,2.0,2.0,,,,,58.0,64.0,40.0,1.0,,47.0,17.0,16.0,3.0,17.0,131.0,5.0,3.0,6.0,,,,20.0,8.0,21.0,1.0,34.0,24.0,,,2.0,,,,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,
cpl::Football_Player::59c28751c88d4dd894cf8907e233745f,J. Waterman,Montréal,Defender,2019,defender,22,1719,1,2,6,0,4,2,23,19,35,0,4,1,64,85,13,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1719,,1.0,16.0,1114,2.0,102.0,315,37.0,4.0,91.0,216,652,90.0,1.0,,1147,19.0,852,10.0,181.0,281,8.0,135,,,139.0,19.0,,52.0,1429,22,12.0,,133.0,496.0,20.0,10,120.0,114.0,35.0,,,38.0,192.0,49.0,,,22,,,,51.0,268.0,940,966,59.0,7.0,72.0,82.0,3.0,1.0,1.0,1.0,,,10.0,37.0,14.0,1.0,,23.0,48.0,5.0,21.0,14.0,20.0,3.0,2.0,6.0,3.0,8.0,,6.0,1.0,4.0,1.0,6.0,6.0,,3.0,,,,2.0,2.0,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,
cpl::Football_Player::347018d8099042888a6076bd0cea0744,K. Çela,Forge,Defender,2019,defender,8,326,1,1,1,0,1,1,7,6,9,1,0,0,50,69,7,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,326,,,2.0,106,,18.0,39,2.0,,5.0,62,39,30.0,1.0,,111,6.0,69,6.0,35.0,3,1.0,34,,,14.0,3.0,,8.0,242,8,1.0,,39.0,50.0,6.0,10,35.0,7.0,9.0,,,9.0,57.0,19.0,,,8,,,,13.0,40.0,71,76,18.0,,22.0,26.0,1.0,1.0,,,,,2.0,15.0,3.0,1.0,,7.0,4.0,,9.0,8.0,35.0,5.0,,1.0,1.0,2.0,,7.0,2.0,11.0,2.0,1.0,7.0,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
cpl::Football_Player::94c3ab35a187436683aa1e7c720bf37a,D. Lee,Wanderers,Defender,2019,defender,8,678,0,0,0,0,0,0,24,18,4,0,1,0,27,78,9,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,678,,,4.0,262,1.0,21.0,52,5.0,1.0,25.0,74,161,36.0,,,273,18.0,192,7.0,61.0,85,1.0,39,,,50.0,7.0,,24.0,385,8,11.0,,59.0,132.0,2.0,10,40.0,20.0,4.0,,,3.0,70.0,21.0,,,8,,,,22.0,35.0,202,212,11.0,1.0,30.0,37.0,2.0,1.0,,,,,5.0,28.0,10.0,1.0,,24.0,9.0,5.0,8.0,4.0,9.0,1.0,,,1.0,4.0,,2.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::a766cd1734d84307a9ace241b64d8ed2,J. Esua,Edmonton,Defender,2019,defender,21,1799,0,2,5,0,1,2,19,20,20,5,2,1,68,75,20,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1799,,,20.0,747,12.0,169.0,256,67.0,2.0,103.0,399,323,94.0,4.0,,762,20.0,499,17.0,197.0,37,13.0,211,,,129.0,20.0,,64.0,1335,21,8.0,,121.0,308.0,18.0,10,111.0,66.0,20.0,,,39.0,178.0,43.0,,,21,,,,49.0,248.0,551,565,57.0,8.0,67.0,72.0,3.0,1.0,1.0,1.0,,,31.0,24.0,32.0,2.0,,19.0,32.0,10.0,18.0,5.0,149.0,1.0,4.0,5.0,2.0,7.0,,78.0,14.0,57.0,14.0,14.0,78.0,,3.0,,,,2.0,2.0,5.0,,1.0,,,,,1.0,,,,,,,,,,
cpl::Football_Player::b81cbecf6fd24278954a45cb13e12632,K. Moses,Edmonton,Defender,2019,defender,15,970,0,0,9,0,1,0,14,12,20,0,2,0,69,76,13,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,970,,1.0,8.0,353,4.0,46.0,130,14.0,2.0,40.0,134,152,52.0,3.0,,372,12.0,241,13.0,92.0,40,4.0,79,,,50.0,11.0,,26.0,582,15,5.0,,62.0,167.0,18.0,10,78.0,39.0,20.0,,,32.0,108.0,26.0,,,15,,,,16.0,119.0,262,280,46.0,1.0,30.0,46.0,,3.0,,,,,6.0,22.0,16.0,,,14.0,16.0,7.0,14.0,8.0,33.0,4.0,8.0,9.0,3.0,7.0,,13.0,2.0,8.0,2.0,,13.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,
cpl::Football_Player::9872d0a42804454098f50f548fd3f290,P. Schaale,Wanderers,Defender,2019,defender,17,1530,1,1,18,0,5,1,31,20,6,1,2,0,60,69,23,1.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1530,,,6.0,625,5.0,16.0,115,24.0,2.0,111.0,229,342,99.0,2.0,,667,20.0,388,21.0,210.0,93,3.0,136,,,90.0,17.0,,74.0,933,17,7.0,,91.0,364.0,25.0,10,107.0,69.0,6.0,,,54.0,181.0,100.0,,,17,,,,38.0,194.0,420,457,90.0,5.0,74.0,53.0,2.0,,,,,,6.0,42.0,15.0,,,31.0,24.0,4.0,36.0,11.0,2.0,,13.0,18.0,5.0,18.0,,,,1.0,,,,,,,,,,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
cpl::Football_Player::7f9d7ceadf134f2c802fd76f21983b46,B. Smith,Pacific,Defender,2019,defender,24,2004,0,5,7,0,0,5,24,23,24,3,3,0,53,82,41,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2004,,,20.0,1031,7.0,216.0,366,49.0,3.0,74.0,305,500,123.0,4.0,,1050,23.0,776,36.0,197.0,381,16.0,176,,,147.0,22.0,,65.0,1585,24,8.0,,114.0,412.0,12.0,10,85.0,77.0,24.0,,,21.0,153.0,52.0,,,24,,,,50.0,41.0,836,853,39.0,2.0,68.0,64.0,5.0,,,,,,9.0,33.0,26.0,2.0,,24.0,41.0,13.0,18.0,9.0,178.0,2.0,7.0,7.0,2.0,5.0,,44.0,13.0,22.0,13.0,6.0,44.0,,2.0,,,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,
cpl::Football_Player::d1f7a45d1b0d48fa84ac505abc9a8a91,M. Temguia,Edmonton,Defender,2019,defender,27,2430,2,0,10,0,5,0,42,40,29,0,3,0,63,80,30,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2430,,3.0,20.0,1276,2.0,107.0,229,53.0,3.0,141.0,318,813,123.0,5.0,,1306,40.0,948,27.0,264.0,430,4.0,165,,,148.0,27.0,,100.0,1692,27,20.0,,178.0,563.0,25.0,10,142.0,94.0,29.0,,,44.0,247.0,80.0,,,27,,,,80.0,206.0,1021,1042,69.0,8.0,105.0,98.0,3.0,,,,,,7.0,63.0,27.0,1.0,,42.0,54.0,20.0,25.0,21.0,17.0,,5.0,10.0,2.0,13.0,,1.0,,5.0,,6.0,1.0,,,,,,,,,,5.0,,2.0,2.0,2.0,1.0,,,,,,,,,,
cpl::Football_Player::5dd63e2f035e4b68a7987b7a747ecd51,L. MacNaughton,,Defender,2019,defender,20,1704,2,0,5,0,2,0,15,24,12,0,2,1,58,86,26,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1704,,3.0,21.0,1022,1.0,96.0,188,45.0,2.0,79.0,161,718,71.0,4.0,,1055,24.0,807,24.0,150.0,169,,99,,,72.0,19.0,,52.0,1283,20,7.0,,60.0,403.0,7.0,10,80.0,98.0,12.0,,,47.0,140.0,97.0,,,20,,,,27.0,387.0,875,905,80.0,3.0,60.0,33.0,2.0,1.0,1.0,,,,3.0,20.0,11.0,,,15.0,29.0,5.0,33.0,5.0,3.0,1.0,3.0,5.0,1.0,16.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,2.0,,2.0,,2.0,,2.0,,,,,,,,,
