playerId,playerName,team,position,season,role,GP,Mins,G,A,S,GI,SOT,KP,Tackles,FC,FS,OFF,YC,RC,AerialsWonPercentage,Pass%,GoalsConceded,GAA,Corners,GoalsFreeKick,HitWoodwork,PenaltyAttempts,PenaltiesSuccessful,YellowRedCards,Xg,Xgefficiency,TacklesWonPercentage,DuelsWonPercentage,AerialDuelsWonPercentage,CrossCompletePercentage,TotalDistanceCovered,AverageDistanceCovered,TotalDistanceCoveredWalking,AverageDistanceCoveredWalking,TotalDistanceCoveredJogging,AverageDistanceCoveredJogging,TotalDistanceCoveredLowIntensityRunning,AverageDistanceCoveredLowIntensityRunning,TotalDistanceCoveredSprinting,AverageDistanceCoveredSprinting,TotalDistanceCoveredHighIntensityRunning,AverageDistanceCoveredHighIntensityRunning,Sprints,KeyPasses(attemptAssists),Touches,YellowCards,TotalUnsuccessfulPasses(ExclCrosses&Corners),TimePlayed,GroundDuelsLost,Catches,AerialDuelsWon,DuelsWon,GoalsConcededOutsideBox,PenaltiesFaced,SuccessfulOpenPlayPasses,SuccessfulLaunches,GroundDuels,SavesMadeFromInsideBox,Duels,UnsuccessfulLaunches,Putthrough/blockedDistribution,CleanSheets,LeftsidePasses,Starts,SavesMade-Parried,SavesMade,TotalFoulsConceded,PenaltyGoalsConceded,GoalsConcededInsideBox,TotalClearances,TotalPasses,Recoveries,SuccessfulPassesOppositionHalf,GoalkeeperSmother,GkUnsuccessfulDistribution,GamesPlayed,SuccessfulPassesOwnHalf,ForwardPasses,RightsidePasses,Drops,Putthrough/blockedDistributionWon,UnsuccessfulLongPasses,Punches,DuelsLost,SuccessfulLongPasses,GkSuccessfulDistribution,TotalLossesOfPossession,Index,Appearances,OpenPlayPasses,UnsuccessfulShortPasses,SavesMadeFromOutsideBox,FoulAttemptedTackle,SuccessfulShortPasses,AerialDuels,TacklesLost,TotalTackles,TotalTouchesInOppositionBox,TotalSuccessfulPasses(ExclCrosses&Corners),UnsuccessfulPassesOppositionHalf,TotalFoulsWon,GoalKicks,GroundDuelsWon,UnsuccessfulPassesOwnHalf,PenaltiesConceded,CornersWon,WinningGoal,SavesMade-Caught,AerialDuelsLost,Interceptions,SuccessfulDribbles,SubstituteOff,SubstituteOn,CrossesNotClaimed,UnsuccessfulLay-offs,SavesFromPenalty,PenaltiesSaved,OwnGoalScored,CornersTaken(inclShortCorners),TotalShots,UnsuccessfulCrossesOpenPlay,ThrowInsToOppositionPlayer,UnsuccessfulCrosses&Corners,TacklesWon,BlockedShots,ShotsOnTarget(IncGoals),TimesTackled,Blocks,SuccessfulCrosses&Corners,ThrowInsToOwnPlayer,UnsuccessfulCornersIntoBox,SuccessfulCrossesOpenPlay,SuccessfulCornersIntoBox,BackwardPasses,UnsuccessfulDribbles,RightFootGoals,SuccessfulLay-offs,Assists(intentional),GoalsFromInsideBox,Goals,Offsides,PenaltiesTaken,GoalAssists,ShotsOffTarget(incWoodwork),PenaltyGoals,LeftFootGoals,SecondGoalAssists,AttemptsFromSetPieces,HomeGoals,AwayGoals,HandballsConceded,Overruns,HeadedGoals,ThroughBalls,LastManTackle,FoulWonPenalty,ClearancesOffTheLine,GoalsFromOutsideBox,StraightRedCards,TotalRedCards,LastPlayerTackle,RedCards-2ndYellow,SetPiecesGoals,PenaltiesOffTarget,OtherGoals
cpl::Football_Player::7c054612559b45f2a7ef690616b61862,T. Henry,Forge,Goalkeeper,2023,goalkeeper,29,2610,0,0,0,0,0,0,0,1,8,0,5,0,100,86.0,34,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,907.0,5.0,92.0,2610.0,2.0,21.0,10.0,17.0,6.0,5.0,284.0,5.0,9.0,35.0,19.0,15.0,,9.0,130.0,29.0,16.0,63.0,1.0,4.0,28.0,21.0,624.0,235.0,24.0,5.0,19.0,29.0,508.0,272.0,222.0,5.0,,84.0,9.0,2.0,61.0,365.0,97.0,10.0,29.0,322.0,8.0,27.0,1.0,471.0,10.0,,,,532.0,55.0,8.0,228.0,7.0,37.0,1.0,,0.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::0a71cc5786ac4cb6a42caa6d849c2129,C. Kalongo,Forge,Goalkeeper,2023,goalkeeper,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42.0,,5.0,120.0,,1.0,,,,,16.0,,,,,1.0,,1.0,9.0,1.0,,1.0,,,,2.0,35.0,8.0,3.0,,,2.0,27.0,15.0,11.0,,,5.0,2.0,,6.0,16.0,6.0,10.0,2.0,16.0,,1.0,,24.0,,,,,30.0,5.0,,14.0,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::25873ca3630f4b3098e2a7f20d7a708a,E. Marmolejo,Forge,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::d7a3107cbc0c426399a5c65c18e39d14,N. Giantsopoulos,Vancouver FC,Goalkeeper,2023,goalkeeper,23,2070,0,0,0,0,0,0,0,1,4,0,3,0,100,75.0,34,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,776.0,3.0,135.0,2070.0,1.0,15.0,8.0,12.0,6.0,1.0,186.0,9.0,5.0,37.0,13.0,29.0,,5.0,130.0,23.0,22.0,75.0,1.0,1.0,28.0,35.0,531.0,165.0,51.0,2.0,51.0,23.0,345.0,292.0,109.0,2.0,,132.0,18.0,1.0,94.0,268.0,135.0,10.0,23.0,231.0,3.0,37.0,1.0,302.0,8.0,1.0,1.0,,396.0,101.0,4.0,210.0,4.0,34.0,1.0,,0.0,2.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::ed004eacaca144bda4943965af890853,E. Gazdov,Montréal,Goalkeeper,2023,goalkeeper,21,1890,0,0,0,0,0,0,0,0,3,0,1,0,83,69.0,24,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,607.0,1.0,135.0,1890.0,,12.0,5.0,8.0,4.0,2.0,173.0,6.0,3.0,31.0,9.0,23.0,1.0,5.0,102.0,21.0,10.0,48.0,,1.0,20.0,25.0,430.0,134.0,39.0,1.0,53.0,21.0,256.0,246.0,82.0,1.0,,129.0,8.0,1.0,69.0,176.0,140.0,10.0,21.0,220.0,6.0,17.0,,226.0,6.0,,,,295.0,109.0,3.0,148.0,3.0,26.0,,,0.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::72e65d5165df41d198c80f48acb6e327,D. Murasiranwa,Valour,Goalkeeper,2023,goalkeeper,2,180,0,0,0,0,0,0,0,0,1,0,0,0,50,78.0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78.0,,11.0,180.0,,2.0,1.0,2.0,,,21.0,,1.0,8.0,3.0,5.0,,,8.0,2.0,2.0,9.0,,,3.0,2.0,50.0,13.0,4.0,1.0,1.0,2.0,35.0,24.0,18.0,,,11.0,1.0,1.0,6.0,26.0,11.0,10.0,2.0,31.0,,,,33.0,2.0,,,,39.0,8.0,1.0,14.0,1.0,3.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::364352c812a14e868234e4883c9bd4e0,N. Ingham,Atlético,Goalkeeper,2023,goalkeeper,22,1980,0,0,0,0,0,0,0,0,5,0,2,0,100,64.0,25,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,734.0,2.0,184.0,1980.0,1.0,18.0,9.0,12.0,5.0,1.0,126.0,13.0,4.0,34.0,13.0,32.0,3.0,7.0,88.0,22.0,12.0,56.0,,,20.0,21.0,509.0,179.0,72.0,3.0,64.0,22.0,253.0,331.0,90.0,1.0,1.0,178.0,10.0,1.0,103.0,252.0,190.0,10.0,22.0,206.0,6.0,22.0,,222.0,9.0,,,,325.0,150.0,5.0,203.0,3.0,34.0,,,0.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::a86a1a3737bc4895b1340dc348ae5b09,S. Melvin,Pacific,Goalkeeper,2023,goalkeeper,6,540,0,0,0,0,0,0,0,0,0,0,0,0,100,63.0,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,167.0,,46.0,540.0,,3.0,3.0,3.0,,,32.0,2.0,,5.0,3.0,12.0,,2.0,24.0,6.0,2.0,9.0,,,9.0,4.0,123.0,44.0,11.0,1.0,18.0,6.0,66.0,86.0,13.0,1.0,,45.0,4.0,,23.0,64.0,46.0,10.0,6.0,51.0,1.0,4.0,,54.0,3.0,,,,77.0,38.0,,56.0,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::9c2fb41ece0d4ac7902f5799c23556f4,M. Williams,York,Goalkeeper,2023,goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::95c5a896975b488cb559f52bde46d3d4,R. Yesli,Wanderers,Goalkeeper,2023,goalkeeper,26,2340,0,0,0,0,0,0,0,0,6,0,1,0,84,59.0,35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,914.0,1.0,270.0,2340.0,2.0,22.0,11.0,17.0,4.0,1.0,224.0,25.0,8.0,53.0,21.0,78.0,1.0,7.0,93.0,26.0,19.0,81.0,,1.0,31.0,18.0,649.0,212.0,99.0,2.0,89.0,26.0,280.0,453.0,103.0,,,263.0,9.0,4.0,141.0,234.0,276.0,10.0,26.0,358.0,7.0,27.0,,238.0,13.0,,,,379.0,228.0,6.0,196.0,6.0,42.0,,,0.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::3369d66b5c1c44c38f4b479aed83a7e7,Roberto Alarcón,Valour,Defender,2023,defender,11,547,0,0,2,0,2,0,9,11,5,0,2,0,40,86.0,12,1.97,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,438.0,2.0,38.0,547.0,24.0,,2.0,32.0,1.0,,220.0,1.0,54.0,,59.0,7.0,13.0,,105.0,7.0,,,11.0,1.0,11.0,12.0,271.0,31.0,117.0,,,11.0,130.0,82.0,6.0,,5.0,14.0,,27.0,11.0,,82.0,10.0,11.0,256.0,24.0,,9.0,222.0,5.0,8.0,17.0,2.0,233.0,44.0,5.0,,30.0,17.0,,2.0,0.0,,3.0,5.0,8.0,5.0,4.0,,,,,,13.0,2.0,15.0,8.0,23.0,9.0,1.0,2.0,8.0,2.0,14.0,46.0,3.0,6.0,6.0,78.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpl::Football_Player::41f23e52e26541bca62d8378fafc1953,F. Aird,Cavalry,Defender,2023,defender,29,1435,2,2,11,0,5,2,18,8,2,1,3,0,44,81.0,14,0.88,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,1274.0,3.0,161.0,1435.0,40.0,,4.0,40.0,2.0,,644.0,6.0,76.0,,85.0,17.0,37.0,1.0,281.0,14.0,,,8.0,2.0,12.0,19.0,828.0,81.0,425.0,,,29.0,279.0,329.0,35.0,,12.0,62.0,,45.0,55.0,,303.0,10.0,29.0,801.0,99.0,,3.0,612.0,9.0,8.0,26.0,15.0,667.0,203.0,2.0,,36.0,33.0,,8.0,1.0,,5.0,12.0,8.0,10.0,15.0,,,,,,29.0,11.0,46.0,29.0,75.0,18.0,1.0,5.0,25.0,5.0,37.0,149.0,13.0,19.0,13.0,183.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
cpl::Football_Player::04974dd93657419b8440025eca4e2ef0,T. Field,Cavalry,Defender,2023,defender,4,212,0,0,1,0,0,0,1,5,0,0,1,0,44,87.0,2,0.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,165.0,1.0,16.0,212.0,10.0,,4.0,8.0,,,103.0,,14.0,,23.0,1.0,7.0,,39.0,2.0,,,5.0,1.0,2.0,4.0,123.0,14.0,34.0,,,4.0,75.0,44.0,20.0,,2.0,4.0,,15.0,5.0,,27.0,10.0,4.0,118.0,12.0,,2.0,102.0,9.0,2.0,3.0,4.0,107.0,13.0,,,4.0,6.0,,1.0,0.0,,5.0,3.0,1.0,2.0,2.0,,,,,,1.0,1.0,2.0,,3.0,1.0,,,3.0,1.0,2.0,5.0,1.0,2.0,,20.0,3.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
cpl::Football_Player::c314ef65be194ced895c50a72967def8,D. Klomp,Cavalry,Defender,2023,defender,31,2820,5,1,21,0,10,1,35,30,9,0,2,0,60,90.0,32,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,2146.0,2.0,187.0,2820.0,54.0,,62.0,116.0,4.0,,1611.0,5.0,108.0,,210.0,24.0,24.0,8.0,586.0,31.0,,,30.0,4.0,28.0,87.0,1848.0,147.0,441.0,,,31.0,1221.0,558.0,624.0,,17.0,104.0,,94.0,130.0,2.0,226.0,10.0,31.0,1797.0,83.0,,17.0,1531.0,102.0,8.0,43.0,41.0,1661.0,143.0,9.0,2.0,54.0,47.0,1.0,8.0,3.0,,40.0,23.0,2.0,,,,,,,,,21.0,3.0,,3.0,35.0,3.0,10.0,11.0,19.0,1.0,4.0,,1.0,,80.0,3.0,2.0,,,5.0,5.0,,,1.0,11.0,,,,,3.0,2.0,,1.0,3.0,2.0,1.0,,,,,,,,,,
cpl::Football_Player::2dd1997d40764eb08c0b5287219a3269,B. Kamdem,Cavalry,Defender,2023,defender,25,2223,0,2,3,0,1,2,28,29,22,2,8,0,63,87.0,25,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1766.0,8.0,172.0,2223.0,67.0,,31.0,111.0,4.0,,1049.0,8.0,147.0,,196.0,23.0,35.0,7.0,94.0,25.0,,,29.0,3.0,21.0,45.0,1259.0,122.0,406.0,,,25.0,688.0,474.0,488.0,,15.0,83.0,,85.0,72.0,,276.0,10.0,25.0,1220.0,89.0,,12.0,1015.0,49.0,8.0,36.0,11.0,1087.0,144.0,22.0,,80.0,51.0,,12.0,0.0,,18.0,26.0,22.0,4.0,,,,,,,,3.0,23.0,33.0,23.0,28.0,5.0,1.0,30.0,14.0,7.0,154.0,,7.0,,203.0,16.0,,1.0,1.0,,,2.0,,2.0,2.0,,,,1.0,,,1.0,5.0,,,,,,,,,,,,,
cpl::Football_Player::6aa006d1cfcb4e3c92a2de560fa893f6,C. Montgomery,Cavalry,Defender,2023,defender,13,690,0,0,4,0,0,0,1,5,5,0,1,0,77,84.0,9,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,457.0,1.0,64.0,690.0,7.0,,17.0,24.0,2.0,,302.0,3.0,14.0,,36.0,9.0,3.0,1.0,49.0,6.0,,,5.0,2.0,7.0,28.0,382.0,32.0,109.0,,,13.0,209.0,151.0,150.0,,1.0,33.0,,12.0,24.0,,77.0,10.0,13.0,362.0,31.0,,2.0,294.0,22.0,1.0,2.0,10.0,318.0,41.0,5.0,,7.0,25.0,1.0,3.0,0.0,,5.0,3.0,,,7.0,,,,,,,4.0,2.0,4.0,2.0,1.0,,,1.0,5.0,,8.0,,,,32.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
